2411319296,2419351552,8032256
2420109312,2423136256,3026944
2430259200,2424291328,-5967872
2442514432,2440867840,-1646592
2429849600,2428526592,-1323008
2312757248,2315759616,3002368
2315239424,2317131776,1892352
2298011648,2295152640,-2859008
2305363968,2325422080,20058112
2351374336,2355748864,4374528
2352697344,2351431680,-1265664
2362142720,2360627200,-1515520
2342047744,2341818368,-229376
2357383168,2349457408,-7925760
2357178368,2371796992,14618624
2314637312,2316361728,1724416
2321240064,2334810112,13570048
2320814080,2320842752,28672
2305630208,2308325376,2695168
2307506176,2319327232,11821056
